yadmNm,sidoCdNm,sgguCdNm,clCdNm,진료과목검색
가톨릭대학교 성빈센트병원,경기,수원팔달구,상급종합,산부인과
가톨릭대학교인천성모병원,인천,인천부평구,상급종합,산부인과
강릉아산병원,강원,강릉시,상급종합,산부인과
강북삼성병원,서울,종로구,상급종합,산부인과
건국대학교병원,서울,광진구,상급종합,산부인과
경북대학교병원,대구,대구중구,상급종합,산부인과
경상국립대학교병원,경남,진주시,상급종합,산부인과
경희대학교병원,서울,동대문구,상급종합,산부인과
계명대학교동산병원,대구,대구달서구,상급종합,산부인과
고려대학교의과대학부속구로병원,서울,구로구,상급종합,산부인과
고려대학교의과대학부속안산병원,경기,안산단원구,상급종합,산부인과
고신대학교복음병원,부산,부산서구,상급종합,산부인과
단국대학교의과대학부속병원,충남,천안동남구,상급종합,산부인과
대구가톨릭대학교병원,대구,대구남구,상급종합,산부인과
동아대학교병원,부산,부산서구,상급종합,산부인과
부산대학교병원,부산,부산서구,상급종합,산부인과
분당서울대학교병원,경기,성남분당구,상급종합,산부인과
삼성서울병원,서울,강남구,상급종합,산부인과
서울대학교병원,서울,종로구,상급종합,산부인과
순천향대학교부속부천병원,경기,부천원미구,상급종합,산부인과
아주대학교병원,경기,수원영통구,상급종합,산부인과
양산부산대학교병원,경남,양산시,상급종합,산부인과
연세대학교 원주세브란스기독병원,강원,원주시,상급종합,산부인과
연세대학교의과대학 강남세브란스병원,서울,강남구,상급종합,산부인과
연세대학교의과대학세브란스병원,서울,서대문구,상급종합,산부인과
영남대학교병원,대구,대구남구,상급종합,산부인과
원광대학교병원,전북,익산시,상급종합,산부인과
의료법인 길의료재단 길병원,인천,인천남동구,상급종합,산부인과
이화여자대학교의과대학부속목동병원,서울,양천구,상급종합,산부인과
인제대학교부산백병원,부산,부산진구,상급종합,산부인과
인하대학교의과대학부속병원,인천,인천제물포구,상급종합,산부인과
재단법인아산사회복지재단 서울아산병원,서울,송파구,상급종합,산부인과
전남대학교병원,전남광주,광주동구,상급종합,산부인과
전북대학교병원,전북,전주덕진구,상급종합,산부인과
조선대학교병원,전남광주,광주동구,상급종합,산부인과
중앙대학교병원,서울,동작구,상급종합,산부인과
충남대학교병원,대전,대전중구,상급종합,산부인과
충북대학교병원,충북,청주서원구,상급종합,산부인과
칠곡경북대학교병원,대구,대구북구,상급종합,산부인과
학교법인 건양교육재단 건양대학교병원,대전,대전서구,상급종합,산부인과
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),서울,성북구,상급종합,산부인과
학교법인 울산공업학원 울산대학교병원,울산,울산동구,상급종합,산부인과
학교법인가톨릭학원가톨릭대학교서울성모병원,서울,서초구,상급종합,산부인과
학교법인성균관대학삼성창원병원,경남,창원마산회원구,상급종합,산부인과
한림대학교성심병원,경기,안양동안구,상급종합,산부인과
한양대학교병원,서울,성동구,상급종합,산부인과
화순전남대학교병원,전남광주,화순군,상급종합,산부인과
(의)나사렛의료재단 나사렛국제병원,인천,인천연수구,종합병원,산부인과
(의)성세의료재단 뉴성민병원,인천,인천서해구,종합병원,산부인과
(의)영문의료재단 다보스병원,경기,용인처인구,종합병원,산부인과
(재)미리내천주성삼성직수도회천주성삼병원,대구,대구수성구,종합병원,산부인과
KS병원,전남광주,광주광산구,종합병원,산부인과
가톨릭관동대학교 국제성모병원,인천,인천서해구,종합병원,산부인과
가톨릭대학교 여의도성모병원,서울,영등포구,종합병원,산부인과
가톨릭대학교 은평성모병원,서울,은평구,종합병원,산부인과
가톨릭대학교부천성모병원,경기,부천원미구,종합병원,산부인과
가톨릭대학교의정부성모병원,경기,의정부시,종합병원,산부인과
강남베드로병원,서울,강남구,종합병원,산부인과
강남병원,경기,용인기흥구,종합병원,산부인과
강남종합병원,대구,대구동구,종합병원,산부인과
강동경희대학교병원,서울,강동구,종합병원,산부인과
강원대학교병원,강원,춘천시,종합병원,산부인과
강원특별자치도삼척의료원,강원,삼척시,종합병원,산부인과
강원특별자치도속초의료원,강원,속초시,종합병원,산부인과
강원특별자치도영월의료원,강원,영월군,종합병원,산부인과
강원특별자치도원주의료원,강원,원주시,종합병원,산부인과
건국대학교 충주병원,충북,충주시,종합병원,산부인과
