원본제목,쇼츠평균조회수,쇼츠개수,원본조회수
갸루와 거제 2편,995000.0,2,5520000.0
갸루와 거제에 왔습니다 (거제 1편),3500000.0,4,10980000.0
갸루의 자세에 대해서 배워보았습니다,4310000.0,2,3900000.0
떡상 전 성수나들이 (사투리2편),3970000.0,3,6800000.0
미나미의 갸루라이브 메들리!,3060000.0,4,6980000.0
미나미의 본모습,1440000.0,3,6390000.0
미나미의 뿌리를 찾아서 | 최종화,1607500.0,4,4560000.0
양키의 하루 배워보기 | 캐릭터 외전,923333.3333333334,3,3280000.0
인생 첫 파인다이닝에 간 셋,340000.0,2,4330000.0
저희도 리센느입니다...,5490000.0,2,8840000.0
진짜 '야호' 하는지 물어봤습니다,3796666.6666666665,3,5150000.0
하루종일 사투리만 써봤습니다,2798333.3333333335,6,8280000.0
