쇼츠ID,쇼츠제목,쇼츠조회수,원본ID,원본제목,원본조회수,쇼츠조회수_숫자,원본조회수_숫자
F5CbMShscuk,Endless Rain,86만,5spDxl-yzUQ,양키의 하루 배워보기 | 캐릭터 외전,328만,860000.0,3280000.0
VUufd3Hd_2Q,오빻,92만,5spDxl-yzUQ,양키의 하루 배워보기 | 캐릭터 외전,328만,920000.0,3280000.0
qzhjmlxNl8s,거제 불주먹 양키,99만,5spDxl-yzUQ,양키의 하루 배워보기 | 캐릭터 외전,328만,990000.0,3280000.0
jilQNKreZBM,원이의 꿈,47만,Yy58f1A6F-c,미나미의 뿌리를 찾아서 | 최종화,456만,470000.0,4560000.0
4ciHuGLi_1I,센빠이!,119만,Yy58f1A6F-c,미나미의 뿌리를 찾아서 | 최종화,456만,1190000.0,4560000.0
FxbR-V8GOjE,새로운 등교 친구,381만,Yy58f1A6F-c,미나미의 뿌리를 찾아서 | 최종화,456만,3810000.0,4560000.0
tDs3mcabrFM,좋지 않아?,96만,Yy58f1A6F-c,미나미의 뿌리를 찾아서 | 최종화,456만,960000.0,4560000.0
5qmyo1nR3no,서예하는 미나미,184만,wdH5_I7UiHA,미나미의 본모습,639만,1840000.0,6390000.0
GUHzPMtxAqY,고멘네!,162만,wdH5_I7UiHA,미나미의 본모습,639만,1620000.0,6390000.0
y2TOOxHF35E,장롱에 누군가 있다,86만,wdH5_I7UiHA,미나미의 본모습,639만,860000.0,6390000.0
YDCgJIvro-4,혹시 한국인이세요?,407만,XD3rCGvMPJE,진짜 '야호' 하는지 물어봤습니다,515만,4070000.0,5150000.0
LVr2R5_TFME,갸루 팩트체크,403만,XD3rCGvMPJE,진짜 '야호' 하는지 물어봤습니다,515만,4030000.0,5150000.0
cDDORzB-2Q0,일본에서 먹히는 발음,329만,XD3rCGvMPJE,진짜 '야호' 하는지 물어봤습니다,515만,3290000.0,5150000.0
P5GHz5HW9Uk,우리도 리센느야,488만,5JZ5biQ_hMI,저희도 리센느입니다...,884만,4880000.0,8840000.0
ORksT1QDf3k,화난 갸루,610만,5JZ5biQ_hMI,저희도 리센느입니다...,884만,6100000.0,8840000.0
6cPEEeEAKiM,갸루 귀신,87만,SF29doLuBfc,갸루와 거제 2편,552만,870000.0,5520000.0
OmjUI2EQiPw,학창시절 인기,112만,SF29doLuBfc,갸루와 거제 2편,552만,1120000.0,5520000.0
nHY4EK0kVH0,저한테 왜 그러시는 거예요,573만,JJBf0jCcfrQ,떡상 전 성수나들이 (사투리2편),680만,5730000.0,6800000.0
hrFWuCyHXpY,내리온나!!!,143만,JJBf0jCcfrQ,떡상 전 성수나들이 (사투리2편),680만,1430000.0,6800000.0
gRESmZMqlFA,고윤정이 2명,475만,JJBf0jCcfrQ,떡상 전 성수나들이 (사투리2편),680만,4750000.0,6800000.0
PfQMw8-ZAtY,시부야 별거 없네,155만,OrCOflk2QmQ,갸루와 거제에 왔습니다 (거제 1편),1098만,1550000.0,10980000.0
8u4vD5IwZQc,고향의 좋은 점,130만,OrCOflk2QmQ,갸루와 거제에 왔습니다 (거제 1편),1098만,1300000.0,10980000.0
jcjUlRUDya4,갸루의 건배,549만,OrCOflk2QmQ,갸루와 거제에 왔습니다 (거제 1편),1098만,5490000.0,10980000.0
Djc2pShwxpI,물고기 물고기 오이데,566만,OrCOflk2QmQ,갸루와 거제에 왔습니다 (거제 1편),1098만,5660000.0,10980000.0
c8vCVztYVg8,애정넘치는 대화입니다,757만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,7570000.0,8280000.0
QEpr_lLWw-0,졸리는 건 목입니다,93만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,930000.0,8280000.0
QQmGNdNgs8w,이거 큰일난거 아이가?,163만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,1630000.0,8280000.0
JFpNSb2pqLQ,니 살림차리고 싶나?,260만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,2600000.0,8280000.0
Fxc1_HkGlBw,선크림 그거 와바르노?,264만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,2640000.0,8280000.0
M-UsuPm7zcM,블루베리스무디 못 시키는 이유,142만,NS7tSrMrWsc,하루종일 사투리만 써봤습니다,828만,1420000.0,8280000.0
Hqv_N2h4Ym4,랩 같은 거 안 한다니까,606만,FcMaC8akSU8,미나미의 갸루라이브 메들리!,698만,6060000.0,6980000.0
xwqUuKRSB2w,미나미가 부르는 불량연애 ost,156만,FcMaC8akSU8,미나미의 갸루라이브 메들리!,698만,1560000.0,6980000.0
P5hyRkrFUSY,루카루카나이트피버,293만,FcMaC8akSU8,미나미의 갸루라이브 메들리!,698만,2930000.0,6980000.0
mDwMojRzdD0,치바갸루와 거제갸루,169만,FcMaC8akSU8,미나미의 갸루라이브 메들리!,698만,1690000.0,6980000.0
IWlKNWGim2o,최종 가격은?,39만,inaTPJiZ734,인생 첫 파인다이닝에 간 셋,433만,390000.0,4330000.0
F6PzIVMxrEQ,파인다이닝 주문하는 법,29만,inaTPJiZ734,인생 첫 파인다이닝에 간 셋,433만,290000.0,4330000.0
lIqwLsFw3LQ,퀸의 마인드,700만,heifaIjlSUc,갸루의 자세에 대해서 배워보았습니다,390만,7000000.0,3900000.0
jesKrPOh9aE,갸루로 변하는 과정,162만,heifaIjlSUc,갸루의 자세에 대해서 배워보았습니다,390만,1620000.0,3900000.0
