날짜,원달러_종가
2025/07/24,"1,367.20"
2025/07/25,"1,377.90"
2025/07/28,"1,382.00"
2025/07/29,"1,391.00"
2025/07/30,"1,383.10"
2025/07/31,"1,387.00"
2025/08/01,"1,401.40"
2025/08/04,"1,385.20"
2025/08/05,"1,388.30"
2025/08/06,"1,389.50"
2025/08/07,"1,381.20"
2025/08/08,"1,389.60"
2025/08/11,"1,388.00"
2025/08/12,"1,389.90"
2025/08/13,"1,381.70"
2025/08/14,"1,382.00"
2025/08/18,"1,385.00"
2025/08/19,"1,390.90"
2025/08/20,"1,398.40"
2025/08/21,"1,398.40"
2025/08/22,"1,393.20"
2025/08/25,"1,384.70"
2025/08/26,"1,395.80"
2025/08/27,"1,396.30"
2025/08/28,"1,387.60"
2025/08/29,"1,390.10"
2025/09/01,"1,393.70"
2025/09/02,"1,391.00"
2025/09/03,"1,392.30"
2025/09/04,"1,392.50"
2025/09/05,"1,391.00"
2025/09/08,"1,390.60"
2025/09/09,"1,387.90"
2025/09/10,"1,386.60"
2025/09/11,"1,391.80"
2025/09/12,"1,388.20"
2025/09/15,"1,389.00"
2025/09/16,"1,378.90"
2025/09/17,"1,380.10"
2025/09/18,"1,387.80"
2025/09/19,"1,393.60"
2025/09/22,"1,392.60"
2025/09/23,"1,392.60"
2025/09/24,"1,397.50"
2025/09/25,"1,400.60"
2025/09/26,"1,412.40"
2025/09/29,"1,398.70"
2025/09/30,"1,402.90"
2025/10/01,"1,403.20"
2025/10/02,"1,400.00"
2025/10/10,"1,421.00"
2025/10/13,"1,425.80"
2025/10/14,"1,431.00"
2025/10/15,"1,421.30"
2025/10/16,"1,417.90"
2025/10/17,"1,421.20"
2025/10/20,"1,419.20"
2025/10/21,"1,427.80"
2025/10/22,"1,429.80"
2025/10/23,"1,439.60"
2025/10/24,"1,437.10"
2025/10/27,"1,431.70"
2025/10/28,"1,437.70"
2025/10/29,"1,431.70"
2025/10/30,"1,426.50"
2025/10/31,"1,424.40"
2025/11/03,"1,428.80"
2025/11/04,"1,437.90"
2025/11/05,"1,449.40"
2025/11/06,"1,447.70"
2025/11/07,"1,456.90"
2025/11/10,"1,451.40"
2025/11/11,"1,463.30"
2025/11/12,"1,465.70"
2025/11/13,"1,467.70"
2025/11/14,"1,457.00"
2025/11/17,"1,458.00"
2025/11/18,"1,465.30"
2025/11/19,"1,465.60"
2025/11/20,"1,467.90"
2025/11/21,"1,475.60"
2025/11/24,"1,477.10"
2025/11/25,"1,472.40"
2025/11/26,"1,465.60"
2025/11/27,"1,464.90"
2025/11/28,"1,470.60"
2025/12/01,"1,469.90"
2025/12/02,"1,468.40"
2025/12/03,"1,468.00"
2025/12/04,"1,473.50"
2025/12/05,"1,468.80"
2025/12/08,"1,466.90"
2025/12/09,"1,472.30"
