날짜,코스피_종가
2025/07/24,"3,190.45"
2025/07/25,"3,196.05"
2025/07/28,"3,209.52"
2025/07/29,"3,230.57"
2025/07/30,"3,254.47"
2025/07/31,"3,245.44"
2025/08/01,"3,119.41"
2025/08/04,"3,147.75"
2025/08/05,"3,198.00"
2025/08/06,"3,198.14"
2025/08/07,"3,227.68"
2025/08/08,"3,210.01"
2025/08/11,"3,206.77"
2025/08/12,"3,189.91"
2025/08/13,"3,224.37"
2025/08/14,"3,225.66"
2025/08/18,"3,177.28"
2025/08/19,"3,151.56"
2025/08/20,"3,130.09"
2025/08/21,"3,141.74"
2025/08/22,"3,168.73"
2025/08/25,"3,209.86"
2025/08/26,"3,179.36"
2025/08/27,"3,187.16"
2025/08/28,"3,196.32"
2025/08/29,"3,186.01"
2025/09/01,"3,142.93"
2025/09/02,"3,172.35"
2025/09/03,"3,184.42"
2025/09/04,"3,200.83"
2025/09/05,"3,205.12"
2025/09/08,"3,219.59"
2025/09/09,"3,260.05"
2025/09/10,"3,314.53"
2025/09/11,"3,344.20"
2025/09/12,"3,395.54"
2025/09/15,"3,407.31"
2025/09/16,"3,449.62"
2025/09/17,"3,413.40"
2025/09/18,"3,461.30"
2025/09/19,"3,445.24"
2025/09/22,"3,468.65"
2025/09/23,"3,486.19"
2025/09/24,"3,472.14"
2025/09/25,"3,471.11"
2025/09/26,"3,386.05"
2025/09/29,"3,431.21"
2025/09/30,"3,424.60"
2025/10/01,"3,455.83"
2025/10/02,"3,549.21"
2025/10/10,"3,610.60"
2025/10/13,"3,584.55"
2025/10/14,"3,561.81"
2025/10/15,"3,657.28"
2025/10/16,"3,748.37"
2025/10/17,"3,748.89"
2025/10/20,"3,814.69"
2025/10/21,"3,823.84"
2025/10/22,"3,883.68"
2025/10/23,"3,845.56"
2025/10/24,"3,941.59"
2025/10/27,"4,042.83"
2025/10/28,"4,010.41"
2025/10/29,"4,081.15"
2025/10/30,"4,086.89"
2025/10/31,"4,107.50"
2025/11/03,"4,221.87"
2025/11/04,"4,121.74"
2025/11/05,"4,004.42"
2025/11/06,"4,026.45"
2025/11/07,"3,953.76"
2025/11/10,"4,073.24"
2025/11/11,"4,106.39"
2025/11/12,"4,150.39"
2025/11/13,"4,170.63"
2025/11/14,"4,011.57"
2025/11/17,"4,089.25"
2025/11/18,"3,953.62"
2025/11/19,"3,929.51"
2025/11/20,"4,004.85"
2025/11/21,"3,853.26"
2025/11/24,"3,846.06"
2025/11/25,"3,857.78"
2025/11/26,"3,960.87"
2025/11/27,"3,986.91"
2025/11/28,"3,926.59"
2025/12/01,"3,920.37"
2025/12/02,"3,994.93"
2025/12/03,"4,036.30"
2025/12/04,"4,028.51"
2025/12/05,"4,100.05"
2025/12/08,"4,154.85"
2025/12/09,"4,143.55"
2025/12/10,"4,135.00"
2025/12/11,"4,110.62"
2025/12/12,"4,167.16"
2025/12/15,"4,090.59"
2025/12/16,"3,999.13"
2025/12/17,"4,056.41"
2025/12/18,"3,994.51"
2025/12/19,"4,020.55"
2025/12/22,"4,105.93"
2025/12/23,"4,117.32"
2025/12/24,"4,108.62"
2025/12/26,"4,129.68"
2025/12/29,"4,220.56"
2025/12/30,"4,214.17"
2025/12/31,
2026/01/02,"4,309.63"
2026/01/05,"4,457.52"
2026/01/06,"4,525.48"
2026/01/07,"4,551.06"
2026/01/08,"4,552.37"
2026/01/09,"4,586.32"
2026/01/12,"4,624.79"
2026/01/13,"4,692.64"
2026/01/14,"4,723.10"
2026/01/15,"4,797.55"
2026/01/16,"4,840.74"
2026/01/19,"4,904.66"
2026/01/20,"4,885.75"
2026/01/21,"4,909.93"
2026/01/22,"4,952.53"
2026/01/23,"4,990.07"
2026/01/26,"4,949.59"
2026/01/27,"5,084.85"
2026/01/28,"5,170.81"
2026/01/29,"5,221.25"
2026/01/30,"5,224.36"
2026/02/02,"4,949.67"
2026/02/03,"5,288.08"
2026/02/04,"5,371.10"
2026/02/05,"5,163.57"
2026/02/06,"5,089.14"
2026/02/09,"5,298.04"
2026/02/10,"5,301.69"
2026/02/11,"5,354.49"
2026/02/12,"5,522.27"
2026/02/13,"5,507.01"
2026/02/19,"5,677.25"
2026/02/20,"5,808.53"
2026/02/23,"5,846.09"
2026/02/24,"5,969.64"
2026/02/25,"6,083.86"
2026/02/26,"6,307.27"
2026/02/27,"6,244.13"
2026/03/03,"5,791.91"
2026/03/04,"5,093.54"
2026/03/05,"5,583.90"
2026/03/06,"5,584.87"
2026/03/09,"5,251.87"
2026/03/10,"5,532.59"
2026/03/11,"5,609.95"
2026/03/12,"5,583.25"
2026/03/13,"5,487.24"
2026/03/16,"5,549.85"
2026/03/17,"5,640.48"
2026/03/18,"5,925.03"
2026/03/19,"5,763.22"
2026/03/20,"5,781.20"
2026/03/23,"5,405.75"
2026/03/24,"5,553.92"
2026/03/25,"5,642.21"
2026/03/26,"5,460.46"
2026/03/27,"5,438.87"
2026/03/30,"5,277.30"
2026/03/31,"5,052.46"
2026/04/01,"5,478.70"
2026/04/02,"5,234.05"
2026/04/03,"5,377.30"
2026/04/06,"5,450.33"
2026/04/07,"5,494.78"
2026/04/08,"5,872.34"
2026/04/09,"5,778.01"
2026/04/10,"5,858.87"
2026/04/13,"5,808.62"
2026/04/14,"5,967.75"
2026/04/15,"6,091.39"
2026/04/16,"6,226.05"
2026/04/17,"6,191.92"
2026/04/20,"6,219.09"
2026/04/21,"6,388.47"
2026/04/22,"6,417.93"
2026/04/23,"6,475.81"
2026/04/24,"6,475.63"
2026/04/27,"6,615.03"
2026/04/28,"6,641.02"
2026/04/29,"6,690.90"
2026/04/30,"6,598.87"
2026/05/04,"6,936.99"
2026/05/06,"7,384.56"
2026/05/07,"7,490.05"
2026/05/08,"7,498.00"
2026/05/11,"7,822.24"
2026/05/12,"7,643.15"
2026/05/13,"7,844.01"
2026/05/14,"7,981.41"
2026/05/15,"7,493.18"
2026/05/18,"7,516.04"
2026/05/19,"7,271.66"
2026/05/20,"7,208.95"
2026/05/21,"7,815.59"
2026/05/22,"7,847.71"
