날짜,코스피지수,코스피외국인순매수,코스닥지수,코스닥외국인순매수
2025/07/24,"3,190.45","7,431",809.89,372
2025/07/25,"3,196.05","2,687",806.95,929
2025/07/28,"3,209.52","4,802",804.40,-155
2025/07/29,"3,230.57","6,047",804.45,-56
2025/07/30,"3,254.47","5,801",803.67,455
2025/07/31,"3,245.44","3,444",805.24,270
2025/08/01,"3,119.41","-6,563",772.79,"-1,126"
2025/08/04,"3,147.75",828,784.06,-396
2025/08/05,"3,198.00","2,953",798.60,467
2025/08/06,"3,198.14","2,815",803.49,-24
2025/08/07,"3,227.68",-176,805.81,-539
2025/08/08,"3,210.01","-1,596",809.27,512
2025/08/11,"3,206.77","2,202",811.85,550
2025/08/12,"3,189.91",-594,807.19,-70
2025/08/13,"3,224.37","6,365",814.10,95
2025/08/14,"3,225.66",-800,815.26,433
2025/08/18,"3,177.28","-4,896",798.05,-433
2025/08/19,"3,151.56","-4,546",787.96,397
2025/08/20,"3,130.09","-2,137",777.61,-422
2025/08/21,"3,141.74",-171,777.24,-692
2025/08/22,"3,168.73","1,817",782.51,655
2025/08/25,"3,209.86","1,188",798.02,"2,263"
2025/08/26,"3,179.36","-6,860",801.66,"1,610"
2025/08/27,"3,187.16","-2,037",801.72,-902
2025/08/28,"3,196.32",-243,798.43,-585
2025/08/29,"3,186.01","-3,725",796.91,-508
2025/09/01,"3,142.93","-2,674",785.00,-571
2025/09/02,"3,172.35","4,022",794.00,795
2025/09/03,"3,184.42","4,364",796.81,224
2025/09/04,"3,200.83","2,035",805.42,870
2025/09/05,"3,205.12","-1,380",811.40,465
2025/09/08,"3,219.59","2,316",818.60,-350
2025/09/09,"3,260.05","6,842",824.82,237
2025/09/10,"3,314.53","13,848",833.00,795
2025/09/11,"3,344.20","3,024",834.76,-671
2025/09/12,"3,395.54","14,172",847.08,"1,895"
2025/09/15,"3,407.31","2,668",852.69,-646
2025/09/16,"3,449.62","17,989",851.84,"-2,147"
2025/09/17,"3,413.40",-361,845.53,"-1,640"
2025/09/18,"3,461.30","2,877",857.11,534
2025/09/19,"3,445.24","-3,062",863.11,"2,116"
2025/09/22,"3,468.65","5,682",874.36,-388
2025/09/23,"3,486.19","3,366",872.21,"-1,282"
2025/09/24,"3,472.14","-2,465",860.94,"-2,564"
2025/09/25,"3,471.11","2,164",852.48,308
2025/09/26,"3,386.05","-5,704",835.19,-836
2025/09/29,"3,431.21","4,484",846.71,"1,143"
2025/09/30,"3,424.60",260,841.99,"-1,839"
2025/10/01,"3,455.83","8,333",845.34,273
2025/10/02,"3,549.21","31,400",854.25,658
2025/10/10,"3,610.60","10,614",859.49,"2,453"
2025/10/13,"3,584.55","-8,233",860.49,-944
2025/10/14,"3,561.81","5,552",847.96,"-1,157"
2025/10/15,"3,657.28","1,629",864.72,497
2025/10/16,"3,748.37","6,591",865.41,-806
2025/10/17,"3,748.89","4,426",859.54,500
2025/10/20,"3,814.69","-2,477",875.77,"1,406"
2025/10/21,"3,823.84",-188,872.50,-399
2025/10/22,"3,883.68","-7,011",879.15,-662
2025/10/23,"3,845.56","-4,091",872.03,"-1,184"
2025/10/24,"3,941.59","5,849",883.08,349
2025/10/27,"4,042.83","6,495",902.70,"2,392"
2025/10/28,"4,010.41","-16,410",903.30,"-1,561"
2025/10/29,"4,081.15","-1,018",901.59,370
2025/10/30,"4,086.89","-1,178",890.86,"1,852"
2025/10/31,"4,107.50","13,164",900.42,"1,979"
2025/11/03,"4,221.87","-7,964",914.55,"3,887"
2025/11/04,"4,121.74","-22,349",926.57,"2,300"
2025/11/05,"4,004.42","-20,700",901.89,"-5,962"
2025/11/06,"4,026.45","-17,000",898.17,"-1,151"
2025/11/07,"3,953.76","-4,625",876.81,585
2025/11/10,"4,073.24","-1,452",888.35,-164
2025/11/11,"4,106.39",744,884.27,129
2025/11/12,"4,150.39","-4,263",906.51,"2,551"
2025/11/13,"4,170.63","9,997",918.37,-796
2025/11/14,"4,011.57","-23,668",897.90,"-3,158"
2025/11/17,"4,089.25","5,183",902.67,-436
2025/11/18,"3,953.62","-5,521",878.70,"-1,755"
2025/11/19,"3,929.51","-10,512",871.32,-639
2025/11/20,"4,004.85","7,448",891.94,"1,910"
2025/11/21,"3,853.26","-28,308",863.95,"-1,280"
2025/11/24,"3,846.06","-7,957",856.44,-402
2025/11/25,"3,857.78",-17,856.03,"1,108"
2025/11/26,"3,960.87","5,235",877.32,"2,108"
2025/11/27,"3,986.91","1,577",880.06,-857
2025/11/28,"3,926.59","-20,410",912.67,"4,924"
